date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:14	1790/1790	---M--	200	added ('OK')	text/html	etag:%226fe-5897d6ab94f80%22	https://smart-school.in/assets/admin/assets/img/arrow-right.cur	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/arrow-right.html	(from https://smart-school.in/assets/admin/assets/css/style.css)
15:25:14	736/736	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jan%202025%2014:25:14%20GMT	https://smart-school.in/assets/admin/assets/img/bg.jpg	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/bg.jpg	(from https://smart-school.in/assets/admin/assets/css/demo.css)
15:25:15	2700/2700	---M--	200	added ('OK')	image/png	etag:%22a8c-5897d6cc01c00%22	https://smart-school.in/assets/admin/assets/img/regular.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/regular.png	(from https://smart-school.in/feature)
15:25:15	1647/1647	---M--	200	added ('OK')	image/png	etag:%2266f-5897d6cc01c00%22	https://smart-school.in/assets/admin/assets/img/responsive.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/responsive.png	(from https://smart-school.in/feature)
15:25:16	2459/2459	---M--	200	added ('OK')	image/png	etag:%2299b-5897d6c090100%22	https://smart-school.in/assets/admin/assets/img/multiuser.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/multiuser.png	(from https://smart-school.in/feature)
15:25:16	2031/2031	---M--	200	added ('OK')	image/png	etag:%227ef-5897d6af65880%22	https://smart-school.in/assets/admin/assets/img/pdf.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/pdf.png	(from https://smart-school.in/feature)
15:25:16	1994/1994	---M--	200	added ('OK')	image/png	etag:%227ca-5897d6cc01c00%22	https://smart-school.in/assets/admin/assets/img/codeigniter.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/codeigniter.png	(from https://smart-school.in/feature)
15:25:16	2786/2786	---M--	200	added ('OK')	image/png	etag:%22ae2-5897d6bcbf800%22	https://smart-school.in/assets/admin/assets/img/developer.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/developer.png	(from https://smart-school.in/feature)
15:25:16	2659/2659	---M--	200	added ('OK')	image/png	etag:%22a63-5897d6b706a80%22	https://smart-school.in/assets/admin/assets/img/student.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/student.png	(from https://smart-school.in/feature)
15:25:17	2041/2041	---M--	200	added ('OK')	image/png	etag:%227f9-5897d6c831300%22	https://smart-school.in/assets/admin/assets/img/easy.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/easy.png	(from https://smart-school.in/feature)
